dataset,method,evidence_group,seed,corruption,severity,selected_alpha,alpha1_acc_pct,selected_acc_pct,acc_gain_pp,alpha1_loss_ce,selected_loss_ce,loss_reduction,n,corruption_used_for_alpha_selection,nearest_used_for_alpha_selection,checkpoint_selection_rule,nearest_used_for_checkpoint_selection,placement,source_file
CIFAR-100-C,ADI-DoRA,subset_3seed_4corruptions_s1s3s5,43,zoom_blur,1,0.8,87.68,88.07,0.39,0.95935,0.941524,0.017826,10000,0,0,final_checkpoint_only,0,Main paper,fc75a00e4580_dora_cifar100c_subset_s1_s3_s5_3seed_no_ckpt_20260627_191452./outputs/dora_cifar100c_subset_s1_s3_s5/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,subset_3seed_4corruptions_s1s3s5,43,zoom_blur,3,0.8,85.29,85.8,0.51,1.169766,1.107573,0.062194,10000,0,0,final_checkpoint_only,0,Main paper,fc75a00e4580_dora_cifar100c_subset_s1_s3_s5_3seed_no_ckpt_20260627_191452./outputs/dora_cifar100c_subset_s1_s3_s5/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,subset_3seed_4corruptions_s1s3s5,43,zoom_blur,5,0.8,77.07,78.72,1.65,1.95683,1.791934,0.164896,10000,0,0,final_checkpoint_only,0,Main paper,fc75a00e4580_dora_cifar100c_subset_s1_s3_s5_3seed_no_ckpt_20260627_191452./outputs/dora_cifar100c_subset_s1_s3_s5/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,subset_3seed_4corruptions_s1s3s5,43,glass_blur,1,0.8,55.74,60.38,4.64,4.537276,3.850287,0.686989,10000,0,0,final_checkpoint_only,0,Main paper,fc75a00e4580_dora_cifar100c_subset_s1_s3_s5_3seed_no_ckpt_20260627_191452./outputs/dora_cifar100c_subset_s1_s3_s5/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,subset_3seed_4corruptions_s1s3s5,43,glass_blur,3,0.8,54.01,57.93,3.92,4.924555,4.27968,0.644876,10000,0,0,final_checkpoint_only,0,Main paper,fc75a00e4580_dora_cifar100c_subset_s1_s3_s5_3seed_no_ckpt_20260627_191452./outputs/dora_cifar100c_subset_s1_s3_s5/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,subset_3seed_4corruptions_s1s3s5,43,glass_blur,5,0.8,36.48,40.13,3.65,7.676312,6.753659,0.922653,10000,0,0,final_checkpoint_only,0,Main paper,fc75a00e4580_dora_cifar100c_subset_s1_s3_s5_3seed_no_ckpt_20260627_191452./outputs/dora_cifar100c_subset_s1_s3_s5/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,subset_3seed_4corruptions_s1s3s5,44,gaussian_noise,1,0.6,78.53,80.06,1.53,1.700966,1.553642,0.147324,10000,0,0,final_checkpoint_only,0,Main paper,fc75a00e4580_dora_cifar100c_subset_s1_s3_s5_3seed_no_ckpt_20260627_191452./outputs/dora_cifar100c_subset_s1_s3_s5/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,subset_3seed_4corruptions_s1s3s5,44,gaussian_noise,3,0.6,48.42,53.38,4.96,4.989393,4.092226,0.897167,10000,0,0,final_checkpoint_only,0,Main paper,fc75a00e4580_dora_cifar100c_subset_s1_s3_s5_3seed_no_ckpt_20260627_191452./outputs/dora_cifar100c_subset_s1_s3_s5/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,subset_3seed_4corruptions_s1s3s5,44,gaussian_noise,5,0.6,34.84,40.78,5.94,6.933033,5.608827,1.324206,10000,0,0,final_checkpoint_only,0,Main paper,fc75a00e4580_dora_cifar100c_subset_s1_s3_s5_3seed_no_ckpt_20260627_191452./outputs/dora_cifar100c_subset_s1_s3_s5/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,subset_3seed_4corruptions_s1s3s5,44,jpeg_compression,1,0.6,83.08,83.51,0.43,1.354412,1.269734,0.084679,10000,0,0,final_checkpoint_only,0,Main paper,fc75a00e4580_dora_cifar100c_subset_s1_s3_s5_3seed_no_ckpt_20260627_191452./outputs/dora_cifar100c_subset_s1_s3_s5/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,subset_3seed_4corruptions_s1s3s5,44,jpeg_compression,3,0.6,72.89,73.96,1.07,2.38084,2.135199,0.24564,10000,0,0,final_checkpoint_only,0,Main paper,fc75a00e4580_dora_cifar100c_subset_s1_s3_s5_3seed_no_ckpt_20260627_191452./outputs/dora_cifar100c_subset_s1_s3_s5/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,subset_3seed_4corruptions_s1s3s5,44,jpeg_compression,5,0.6,64.51,65.94,1.43,3.207265,2.846854,0.360411,10000,0,0,final_checkpoint_only,0,Main paper,fc75a00e4580_dora_cifar100c_subset_s1_s3_s5_3seed_no_ckpt_20260627_191452./outputs/dora_cifar100c_subset_s1_s3_s5/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,subset_3seed_4corruptions_s1s3s5,44,zoom_blur,1,0.6,87.51,86.95,-0.56,0.9904,1.019133,-0.028733,10000,0,0,final_checkpoint_only,0,Main paper,fc75a00e4580_dora_cifar100c_subset_s1_s3_s5_3seed_no_ckpt_20260627_191452./outputs/dora_cifar100c_subset_s1_s3_s5/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,subset_3seed_4corruptions_s1s3s5,44,zoom_blur,3,0.6,84.96,84.92,-0.04,1.185295,1.183657,0.001638,10000,0,0,final_checkpoint_only,0,Main paper,fc75a00e4580_dora_cifar100c_subset_s1_s3_s5_3seed_no_ckpt_20260627_191452./outputs/dora_cifar100c_subset_s1_s3_s5/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,subset_3seed_4corruptions_s1s3s5,44,zoom_blur,5,0.6,77.96,78.01,0.05,1.906914,1.813149,0.093766,10000,0,0,final_checkpoint_only,0,Main paper,fc75a00e4580_dora_cifar100c_subset_s1_s3_s5_3seed_no_ckpt_20260627_191452./outputs/dora_cifar100c_subset_s1_s3_s5/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,subset_3seed_4corruptions_s1s3s5,44,glass_blur,1,0.6,56.1,61.79,5.69,4.399525,3.509515,0.89001,10000,0,0,final_checkpoint_only,0,Main paper,fc75a00e4580_dora_cifar100c_subset_s1_s3_s5_3seed_no_ckpt_20260627_191452./outputs/dora_cifar100c_subset_s1_s3_s5/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,subset_3seed_4corruptions_s1s3s5,44,glass_blur,3,0.6,53.4,59.04,5.64,4.860523,3.933038,0.927484,10000,0,0,final_checkpoint_only,0,Main paper,fc75a00e4580_dora_cifar100c_subset_s1_s3_s5_3seed_no_ckpt_20260627_191452./outputs/dora_cifar100c_subset_s1_s3_s5/dora_cifar100c_comparison.csv
CIFAR-100-C,ADI-DoRA,subset_3seed_4corruptions_s1s3s5,44,glass_blur,5,0.6,35.39,41.34,5.95,7.764718,6.261806,1.502912,10000,0,0,final_checkpoint_only,0,Main paper,fc75a00e4580_dora_cifar100c_subset_s1_s3_s5_3seed_no_ckpt_20260627_191452./outputs/dora_cifar100c_subset_s1_s3_s5/dora_cifar100c_comparison.csv
